,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
230,230,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.8530005812644958,Buff-throated Woodcreeper
231,231,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.8930575847625732,Buff-throated Woodcreeper
240,240,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.9557924270629884,Buff-throated Woodcreeper
241,241,./../all_10_species/,XC232389 - Buff-throated Woodcreeper - Xiphorhynchus guttatus guttatoides.mp3,37.468125,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.7541542649269104,Buff-throated Woodcreeper
252,252,./../all_10_species/,XC529273 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,44.56491666666667,0,30.0,3.0,48000,Zonotrichia capensis,0.8120937943458557,Rufous-collared Sparrow
254,254,./../all_10_species/,XC529273 - Rufous-collared Sparrow - Zonotrichia capensis.mp3,44.56491666666667,0,36.0,3.0,48000,Zonotrichia capensis,0.8724244236946106,Rufous-collared Sparrow
258,258,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.5659980773925781,Buff-throated Woodcreeper
261,261,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.7636135816574097,Buff-throated Woodcreeper
266,266,./../all_10_species/,XC404597 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,35.54997916666667,0,27.0,3.0,48000,Xiphorhynchus guttatus,0.9225524663925172,Buff-throated Woodcreeper
270,270,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,3.0,3.0,48000,Microcerculus marginatus,0.6356686949729919,Southern Nightingale-Wren
272,272,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,9.0,3.0,48000,Microcerculus marginatus,0.947714865207672,Southern Nightingale-Wren
275,275,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,18.0,3.0,48000,Microcerculus marginatus,0.8952156901359558,Southern Nightingale-Wren
276,276,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,21.0,3.0,48000,Microcerculus marginatus,0.939503014087677,Southern Nightingale-Wren
277,277,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,24.0,3.0,48000,Microcerculus marginatus,0.988941252231598,Southern Nightingale-Wren
278,278,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,27.0,3.0,48000,Microcerculus marginatus,0.9954771399497986,Southern Nightingale-Wren
281,281,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,36.0,3.0,48000,Microcerculus marginatus,0.9951319694519044,Southern Nightingale-Wren
282,282,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,39.0,3.0,48000,Microcerculus marginatus,0.6384207010269165,Southern Nightingale-Wren
284,284,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,45.0,3.0,48000,Microcerculus marginatus,0.985300600528717,Southern Nightingale-Wren
286,286,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,51.0,3.0,48000,Microcerculus marginatus,0.5725281238555908,Southern Nightingale-Wren
287,287,./../all_10_species/,XC519236 - Southern Nightingale-Wren - Microcerculus marginatus.mp3,71.862875,0,54.0,3.0,48000,Microcerculus marginatus,0.964709460735321,Southern Nightingale-Wren
310,310,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,3.0,3.0,48000,Ramphastos tucanus,0.9992740750312804,White-throated Toucan
311,311,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,6.0,3.0,48000,Ramphastos tucanus,0.9923887848854064,White-throated Toucan
312,312,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,9.0,3.0,48000,Ramphastos tucanus,0.999520778656006,White-throated Toucan
313,313,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,12.0,3.0,48000,Ramphastos tucanus,0.9988377690315248,White-throated Toucan
314,314,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,15.0,3.0,48000,Ramphastos tucanus,0.9991148114204408,White-throated Toucan
315,315,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,18.0,3.0,48000,Ramphastos tucanus,0.9994552731513976,White-throated Toucan
316,316,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,21.0,3.0,48000,Ramphastos tucanus,0.9997135996818542,White-throated Toucan
317,317,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,24.0,3.0,48000,Ramphastos tucanus,0.9996269941329956,White-throated Toucan
318,318,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,27.0,3.0,48000,Ramphastos tucanus,0.9995157718658448,White-throated Toucan
319,319,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,30.0,3.0,48000,Ramphastos tucanus,0.9989118576049804,White-throated Toucan
320,320,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,33.0,3.0,48000,Ramphastos tucanus,0.9996514320373536,White-throated Toucan
321,321,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,36.0,3.0,48000,Ramphastos tucanus,0.9995900988578796,White-throated Toucan
322,322,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,39.0,3.0,48000,Ramphastos tucanus,0.9995250701904296,White-throated Toucan
323,323,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,42.0,3.0,48000,Ramphastos tucanus,0.997647225856781,White-throated Toucan
324,324,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,45.0,3.0,48000,Ramphastos tucanus,0.9994603991508484,White-throated Toucan
325,325,./../all_10_species/,XC647183 - White-throated Toucan - Ramphastos tucanus.mp3,52.40164583333333,0,48.0,3.0,48000,Ramphastos tucanus,0.99088317155838,White-throated Toucan
326,326,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.9748743772506714,Buff-throated Woodcreeper
328,328,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,6.0,3.0,48000,Xiphorhynchus guttatus,0.9769597053527832,Buff-throated Woodcreeper
329,329,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,9.0,3.0,48000,Xiphorhynchus guttatus,0.9815068244934082,Buff-throated Woodcreeper
330,330,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,12.0,3.0,48000,Xiphorhynchus guttatus,0.974117636680603,Buff-throated Woodcreeper
332,332,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,18.0,3.0,48000,Xiphorhynchus guttatus,0.9694259166717528,Buff-throated Woodcreeper
333,333,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,21.0,3.0,48000,Xiphorhynchus guttatus,0.9791046977043152,Buff-throated Woodcreeper
334,334,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,24.0,3.0,48000,Xiphorhynchus guttatus,0.8306549787521362,Buff-throated Woodcreeper
